UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
-1;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;-1;-1;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;-1;0.2428571429;48.16181;11.58639;1517912276.53339;3
-1;0.2;0.2;0.2;-1;0.2;-1;-1;-1;0.2;0.2;0.2;0.2;0.2;0.2;-1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;-1;0.2;0.2;-1;0.2;0.2;0.2;0.2;-1;0.2;-1;0.2;48.16181;11.58639;1517912277.53372;3
-1;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;-1;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;48.16181;11.58639;1517912278.53373;0
-1;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;-1;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;48.16181;11.58639;1517912279.53388;0
-1;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;-1;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;-1;0.1285714286;0.1285714286;0.1285714286;0.1285714286;-1;0.1285714286;-1;0.1285714286;48.16181;11.58639;1517912280.53373;0
-1;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;-1;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;0.1142857143;48.16181;11.58639;1517912281.53367;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;48.16181;11.58639;1517912282.53375;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;48.16181;11.58639;1517912283.53329;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;48.16181;11.58639;1517912284.53372;0
-1;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;-1;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;48.16181;11.58639;1517912285.53377;0
